Current memory usage is 0.008862MB; Peak was 0.012598MB
Current memory usage is 0.008862MB; Peak was 0.012598MB
Current memory usage is 0.00895MB; Peak was 0.012767MB
Current memory usage is 0.008957MB; Peak was 0.012704MB
Current memory usage is 0.008954MB; Peak was 0.012708MB
Current memory usage is 0.009118MB; Peak was 0.012854MB
Current memory usage is 0.00931MB; Peak was 0.013046MB
Current memory usage is 0.00931MB; Peak was 0.013046MB
Current memory usage is 0.008862MB; Peak was 0.012598MB
Current memory usage is 0.008862MB; Peak was 0.012598MB
Current memory usage is 0.008862MB; Peak was 0.012598MB
Current memory usage is 0.008862MB; Peak was 0.012598MB
Current memory usage is 0.008862MB; Peak was 0.012598MB
Current memory usage is 0.008862MB; Peak was 0.012598MB
Current memory usage is 0.008862MB; Peak was 0.012598MB
Current memory usage is 0.008862MB; Peak was 0.012598MB
Current memory usage is 0.008862MB; Peak was 0.012598MB
Current memory usage is 0.009118MB; Peak was 0.012854MB
Current memory usage is 0.00931MB; Peak was 0.013046MB
Current memory usage is 0.009358MB; Peak was 0.013094MB
Current memory usage is 0.008862MB; Peak was 0.012598MB
Current memory usage is 0.008862MB; Peak was 0.012598MB
Current memory usage is 0.008862MB; Peak was 0.012598MB
Current memory usage is 0.008862MB; Peak was 0.012598MB
Current memory usage is 0.008862MB; Peak was 0.012598MB
Current memory usage is 0.008862MB; Peak was 0.012598MB
Current memory usage is 0.008862MB; Peak was 0.012598MB
Current memory usage is 0.008862MB; Peak was 0.012598MB
Current memory usage is 0.008862MB; Peak was 0.012598MB
Current memory usage is 0.009118MB; Peak was 0.012854MB
Current memory usage is 0.00931MB; Peak was 0.013046MB
Current memory usage is 0.009358MB; Peak was 0.013094MB
Current memory usage is 0.008862MB; Peak was 0.012598MB
Current memory usage is 0.008862MB; Peak was 0.012598MB
Current memory usage is 0.008862MB; Peak was 0.012598MB
Current memory usage is 0.008862MB; Peak was 0.012598MB
Current memory usage is 0.008862MB; Peak was 0.012598MB
Current memory usage is 0.008862MB; Peak was 0.012598MB
Current memory usage is 0.008862MB; Peak was 0.012598MB
Current memory usage is 0.008862MB; Peak was 0.012598MB
Current memory usage is 0.008862MB; Peak was 0.012598MB
Current memory usage is 0.009118MB; Peak was 0.012854MB
Current memory usage is 0.015479MB; Peak was 0.019219MB
Current memory usage is 0.009454MB; Peak was 0.013229MB
Current memory usage is 0.008961MB; Peak was 0.012702MB
Current memory usage is 0.008862MB; Peak was 0.012598MB
Current memory usage is 0.008862MB; Peak was 0.012598MB
Current memory usage is 0.008862MB; Peak was 0.012598MB
Current memory usage is 0.008862MB; Peak was 0.012598MB
Current memory usage is 0.008862MB; Peak was 0.012598MB
Current memory usage is 0.008864MB; Peak was 0.0126MB
Current memory usage is 0.008862MB; Peak was 0.012598MB
Current memory usage is 0.008862MB; Peak was 0.012598MB
Current memory usage is 0.009118MB; Peak was 0.012854MB
Current memory usage is 0.00931MB; Peak was 0.013046MB
Current memory usage is 0.009358MB; Peak was 0.013094MB
Current memory usage is 0.008866MB; Peak was 0.012602MB
Current memory usage is 0.008866MB; Peak was 0.012602MB
Current memory usage is 0.008864MB; Peak was 0.0126MB
Current memory usage is 0.008864MB; Peak was 0.0126MB
Current memory usage is 0.008866MB; Peak was 0.012602MB
Current memory usage is 0.008866MB; Peak was 0.012602MB
Current memory usage is 0.008866MB; Peak was 0.012602MB
Current memory usage is 0.008866MB; Peak was 0.012602MB
Current memory usage is 0.008866MB; Peak was 0.012602MB
Current memory usage is 0.009122MB; Peak was 0.012858MB
Current memory usage is 0.009314MB; Peak was 0.01305MB
Current memory usage is 0.009362MB; Peak was 0.013098MB
Current memory usage is 0.008866MB; Peak was 0.012602MB
Current memory usage is 0.008894MB; Peak was 0.01263MB
Current memory usage is 0.008784MB; Peak was 0.01252MB
Current memory usage is 0.008784MB; Peak was 0.01252MB
Current memory usage is 0.008784MB; Peak was 0.01252MB
Current memory usage is 0.008784MB; Peak was 0.01252MB
Current memory usage is 0.008784MB; Peak was 0.01252MB
Current memory usage is 0.008782MB; Peak was 0.012518MB
Current memory usage is 0.008784MB; Peak was 0.01252MB
Current memory usage is 0.00904MB; Peak was 0.012776MB
Current memory usage is 0.009232MB; Peak was 0.012968MB
Current memory usage is 0.009232MB; Peak was 0.012968MB
Current memory usage is 0.008846MB; Peak was 0.012582MB
Current memory usage is 0.008782MB; Peak was 0.012518MB
Current memory usage is 0.008921MB; Peak was 0.01268MB
Current memory usage is 0.009023MB; Peak was 0.012789MB
Current memory usage is 0.008782MB; Peak was 0.012606MB
Current memory usage is 0.008782MB; Peak was 0.012518MB
Current memory usage is 0.00878MB; Peak was 0.012516MB
Current memory usage is 0.00878MB; Peak was 0.012516MB
Current memory usage is 0.00878MB; Peak was 0.012516MB
Current memory usage is 0.009036MB; Peak was 0.012772MB
Current memory usage is 0.009228MB; Peak was 0.012964MB
Current memory usage is 0.009228MB; Peak was 0.012964MB
Current memory usage is 0.009228MB; Peak was 0.012964MB
Current memory usage is 0.00878MB; Peak was 0.012516MB
Current memory usage is 0.00878MB; Peak was 0.012516MB
Current memory usage is 0.00878MB; Peak was 0.012516MB
Current memory usage is 0.008196MB; Peak was 0.011932MB
Current memory usage is 0.008196MB; Peak was 0.011932MB
Current memory usage is 0.008196MB; Peak was 0.011932MB
Current memory usage is 0.008196MB; Peak was 0.011932MB
Current memory usage is 0.008196MB; Peak was 0.011932MB
Current memory usage is 0.008452MB; Peak was 0.012188MB
Current memory usage is 0.008644MB; Peak was 0.01238MB
Current memory usage is 0.008644MB; Peak was 0.01238MB
Current memory usage is 0.008644MB; Peak was 0.01238MB
Current memory usage is 0.008196MB; Peak was 0.011932MB
Current memory usage is 0.008196MB; Peak was 0.011932MB
Current memory usage is 0.008198MB; Peak was 0.011934MB
Current memory usage is 0.008198MB; Peak was 0.011934MB
Current memory usage is 0.008198MB; Peak was 0.011934MB
Current memory usage is 0.008196MB; Peak was 0.011932MB
Current memory usage is 0.008196MB; Peak was 0.011932MB
Current memory usage is 0.008196MB; Peak was 0.011932MB
Current memory usage is 0.008448MB; Peak was 0.012186MB
Current memory usage is 0.00864MB; Peak was 0.012378MB
Current memory usage is 0.00864MB; Peak was 0.012378MB
Current memory usage is 0.00864MB; Peak was 0.012378MB
Current memory usage is 0.00819MB; Peak was 0.011928MB
Current memory usage is 0.00819MB; Peak was 0.011928MB
Current memory usage is 0.00819MB; Peak was 0.011928MB
Current memory usage is 0.00819MB; Peak was 0.011928MB
Current memory usage is 0.008188MB; Peak was 0.011926MB
Current memory usage is 0.006874MB; Peak was 0.010628MB
Current memory usage is 0.006874MB; Peak was 0.010628MB
Current memory usage is 0.006874MB; Peak was 0.010628MB
Current memory usage is 0.00713MB; Peak was 0.010884MB
Current memory usage is 0.007322MB; Peak was 0.011076MB
Current memory usage is 0.007322MB; Peak was 0.011076MB
Current memory usage is 0.007322MB; Peak was 0.011076MB
Current memory usage is 0.009426MB; Peak was 0.01316MB
Current memory usage is 0.008906MB; Peak was 0.01264MB
Current memory usage is 0.008906MB; Peak was 0.01264MB
Current memory usage is 0.008906MB; Peak was 0.01264MB
Current memory usage is 0.008906MB; Peak was 0.01264MB
Current memory usage is 0.008906MB; Peak was 0.01264MB
Current memory usage is 0.008906MB; Peak was 0.01264MB
Current memory usage is 0.009162MB; Peak was 0.012896MB
Current memory usage is 0.009354MB; Peak was 0.013088MB
Current memory usage is 0.009354MB; Peak was 0.013088MB
Current memory usage is 0.009354MB; Peak was 0.013088MB
Current memory usage is 0.008906MB; Peak was 0.01264MB
Current memory usage is 0.008906MB; Peak was 0.01264MB
Current memory usage is 0.008906MB; Peak was 0.01264MB
Current memory usage is 0.008906MB; Peak was 0.01264MB
Current memory usage is 0.00886MB; Peak was 0.012594MB
Current memory usage is 0.00886MB; Peak was 0.012594MB
Current memory usage is 0.00886MB; Peak was 0.012594MB
Current memory usage is 0.00886MB; Peak was 0.012594MB
Current memory usage is 0.009116MB; Peak was 0.01285MB
Current memory usage is 0.009308MB; Peak was 0.013042MB
Current memory usage is 0.009308MB; Peak was 0.013042MB
Current memory usage is 0.009308MB; Peak was 0.013042MB
Current memory usage is 0.00886MB; Peak was 0.012594MB
Current memory usage is 0.00886MB; Peak was 0.012594MB
Current memory usage is 0.00886MB; Peak was 0.012594MB
Current memory usage is 0.00886MB; Peak was 0.012594MB
Current memory usage is 0.00886MB; Peak was 0.012594MB
Current memory usage is 0.00886MB; Peak was 0.012594MB
Current memory usage is 0.00886MB; Peak was 0.012594MB
Current memory usage is 0.00886MB; Peak was 0.012594MB
Current memory usage is 0.009231MB; Peak was 0.012974MB
Current memory usage is 0.009404MB; Peak was 0.01315MB
Current memory usage is 0.009448MB; Peak was 0.013152MB
Current memory usage is 0.009308MB; Peak was 0.013042MB
Current memory usage is 0.00886MB; Peak was 0.012594MB
Current memory usage is 0.00886MB; Peak was 0.012594MB
Current memory usage is 0.00886MB; Peak was 0.012594MB
Current memory usage is 0.00886MB; Peak was 0.012594MB
Current memory usage is 0.00886MB; Peak was 0.012594MB
Current memory usage is 0.00886MB; Peak was 0.012594MB
Current memory usage is 0.00886MB; Peak was 0.012594MB
Current memory usage is 0.008814MB; Peak was 0.012548MB
Current memory usage is 0.00907MB; Peak was 0.012804MB
Current memory usage is 0.009264MB; Peak was 0.012998MB
Current memory usage is 0.009308MB; Peak was 0.013042MB
Current memory usage is 0.009308MB; Peak was 0.013042MB
Current memory usage is 0.00886MB; Peak was 0.012594MB
Current memory usage is 0.008904MB; Peak was 0.012638MB
Current memory usage is 0.008904MB; Peak was 0.012638MB
Current memory usage is 0.008904MB; Peak was 0.012638MB
Current memory usage is 0.008904MB; Peak was 0.012638MB
Current memory usage is 0.008904MB; Peak was 0.012638MB
Current memory usage is 0.008904MB; Peak was 0.012638MB
Current memory usage is 0.008904MB; Peak was 0.012638MB
Current memory usage is 0.00916MB; Peak was 0.012894MB
Current memory usage is 0.009352MB; Peak was 0.013086MB
Current memory usage is 0.009352MB; Peak was 0.013086MB
Current memory usage is 0.0094MB; Peak was 0.013134MB
Current memory usage is 0.008904MB; Peak was 0.012638MB
Current memory usage is 0.008904MB; Peak was 0.012638MB
Current memory usage is 0.008904MB; Peak was 0.012638MB
Current memory usage is 0.008904MB; Peak was 0.012638MB
Current memory usage is 0.008904MB; Peak was 0.012638MB
Current memory usage is 0.008904MB; Peak was 0.012638MB
Current memory usage is 0.008904MB; Peak was 0.012638MB
Current memory usage is 0.008904MB; Peak was 0.012638MB
Current memory usage is 0.00916MB; Peak was 0.012894MB
Current memory usage is 0.009352MB; Peak was 0.013086MB
Current memory usage is 0.009352MB; Peak was 0.013086MB
Current memory usage is 0.009069MB; Peak was 0.012828MB
Current memory usage is 0.009006MB; Peak was 0.012739MB
Current memory usage is 0.009003MB; Peak was 0.012753MB
Current memory usage is 0.008904MB; Peak was 0.012638MB
Current memory usage is 0.008948MB; Peak was 0.012684MB
Current memory usage is 0.008948MB; Peak was 0.012684MB
Current memory usage is 0.008948MB; Peak was 0.012684MB
Current memory usage is 0.008948MB; Peak was 0.012684MB
Current memory usage is 0.008948MB; Peak was 0.012684MB
Current memory usage is 0.009204MB; Peak was 0.01294MB
Current memory usage is 0.009396MB; Peak was 0.013132MB
Current memory usage is 0.009396MB; Peak was 0.013132MB
Current memory usage is 0.009204MB; Peak was 0.01294MB
Current memory usage is 0.008948MB; Peak was 0.012684MB
Current memory usage is 0.009043MB; Peak was 0.012779MB
Current memory usage is 0.008948MB; Peak was 0.012684MB
Current memory usage is 0.008948MB; Peak was 0.012684MB
